id,client_id,order_date,status,origin
1,112,2024-10-02T03:05:39,Pending,P
2,117,2024-08-17T03:05:39,Complete,O
3,120,2024-09-10T03:05:39,Cancelled,O
4,116,2024-03-11T03:05:39,Pending,O
5,103,2024-06-05T03:05:39,Complete,O
6,100,2024-04-18T03:05:39,Pending,O
7,101,2024-06-28T03:05:39,Cancelled,O
8,102,2024-11-07T03:05:39,Complete,O
9,115,2025-01-08T03:05:39,Pending,O
10,119,2024-05-03T03:05:39,Pending,P
11,119,2024-11-29T03:05:39,Complete,O
12,105,2024-08-28T03:05:39,Pending,O
13,107,2025-01-24T03:05:39,Complete,O
14,101,2024-07-02T03:05:39,Pending,P
15,112,2024-07-16T03:05:39,Cancelled,O
16,110,2024-08-07T03:05:39,Pending,O
17,104,2024-11-23T03:05:39,Pending,P
18,113,2024-06-26T03:05:39,Cancelled,O
19,113,2024-08-03T03:05:39,Complete,P
20,109,2024-04-12T03:05:39,Pending,O
